Gender,PromClass,Gender_code,PromSilver,PromTin,PromGold,Affl,Age,LTime,Spend,TargetBuy
F,Silver,1,1,0,0,5,70,8,0.02,1
M,Tin,0,0,1,0,10,65,7,0.01,1
F,Tin,1,0,1,0,11,68,8,0.01,0
F,Tin,1,0,1,0,11,74,8,0.01,0
M,Tin,0,0,1,0,13,62,5,0.01,0
M,Silver,0,1,0,0,10,62,3,2038.76,0
F,Gold,1,0,0,1,7,60,2,11000,0
F,Silver,1,1,0,0,9,51,11,300,0
F,Tin,1,0,1,0,6,64,9,0.01,0
F,Tin,1,0,1,0,16,37,4,0.01,1
M,Silver,0,1,0,0,8,54,1,1420,0
F,Gold,1,0,0,1,5,70,8,6104.66,0
F,Silver,1,1,0,0,9,66,12,500,0
F,Gold,1,0,0,1,9,74,2,6000,0
M,Silver,0,1,0,0,7,66,5,1000,0
F,Tin,1,0,1,0,6,46,8,0.01,0
M,Tin,0,0,1,0,10,39,5,0.01,0
M,Silver,0,1,0,0,7,75,7,4000,0
M,Tin,0,0,1,0,7,43,5,0.01,1
F,Gold,1,0,0,1,7,62,4,20000,0
M,Silver,0,1,0,0,8,37,9,1000,1
F,Tin,1,0,1,0,9,49,8,0.01,0
F,Gold,1,0,0,1,3,50,3,9800,0
F,Silver,1,1,0,0,15,35,5,1630,1
F,Silver,1,1,0,0,10,71,5,1500,0
F,Silver,1,1,0,0,7,44,1,1000,0
M,Tin,0,0,1,0,8,42,5,0.01,0
F,Gold,1,0,0,1,9,68,5,6053.25,1
F,Tin,1,0,1,0,9,31,4,0.01,0
F,Gold,1,0,0,1,8,70,15,19053.82,0
F,Platinum,1,0,0,0,7,72,3,20526.96,0
M,Tin,0,0,1,0,12,41,9,0.01,0
F,Gold,1,0,0,1,9,37,1,6000,1
F,Gold,1,0,0,1,8,58,7,10053.35,0
F,Silver,1,1,0,0,7,47,5,0.02,0
M,Silver,0,1,0,0,8,71,6,1000,0
F,Silver,1,1,0,0,8,62,5,1000,1
F,Silver,1,1,0,0,8,39,4,2241.36,1
M,Gold,0,0,0,1,6,76,19,12000,0
F,Gold,1,0,0,1,7,61,11,6000,1
M,Silver,0,1,0,0,8,60,11,60,1
F,Tin,1,0,1,0,15,42,5,0.01,1
F,Silver,1,1,0,0,10,57,11,50,0
M,Tin,0,0,1,0,6,45,4,0.01,0
F,Silver,1,1,0,0,11,75,8,3052.66,1
F,Tin,1,0,1,0,8,37,5,0.01,1
F,Tin,1,0,1,0,19,39,8,0.01,1
M,Silver,0,1,0,0,7,55,1,2000,0
M,Gold,0,0,0,1,8,57,9,9000,0
F,Gold,1,0,0,1,13,18,1,6000,0
F,Gold,1,0,0,1,9,50,4,20000,0
F,Silver,1,1,0,0,7,78,24,2000,0
F,Tin,1,0,1,0,5,61,5,0.01,0
F,Silver,1,1,0,0,11,66,5,2000,0
M,Silver,0,1,0,0,9,48,2,3000,0
F,Silver,1,1,0,0,8,53,1,100,0
F,Tin,1,0,1,0,9,68,7,0.01,0
F,Tin,1,0,1,0,8,47,5,0.01,0
F,Silver,1,1,0,0,11,39,1,2800,1
F,Tin,1,0,1,0,12,72,8,0.01,0
M,Gold,0,0,0,1,10,67,4,6000,0
F,Tin,1,0,1,0,9,60,8,0.01,0
M,Tin,0,0,1,0,11,52,9,0.01,0
F,Tin,1,0,1,0,7,55,8,0.01,0
M,Gold,0,0,0,1,14,65,6,6053.35,0
M,Tin,0,0,1,0,13,41,7,0.01,1
F,Silver,1,1,0,0,16,34,3,3000,1
F,Silver,1,1,0,0,6,40,7,1500,1
F,Tin,1,0,1,0,9,35,4,0.01,1
M,Silver,0,1,0,0,7,50,10,5000,0
M,Gold,0,0,0,1,9,60,5,8100,0
F,Gold,1,0,0,1,8,49,4,7600,0
M,Silver,0,1,0,0,6,57,8,2000,0
M,Gold,0,0,0,1,6,75,17,10000,0
F,Silver,1,1,0,0,8,52,6,2500,1
F,Gold,1,0,0,1,12,74,5,6000,0
F,Silver,1,1,0,0,9,79,5,5000,0
F,Silver,1,1,0,0,3,38,9,50,1
F,Silver,1,1,0,0,9,58,5,5000,0
M,Silver,0,1,0,0,4,52,4,1800,0
F,Silver,1,1,0,0,3,45,9,100.01,0
F,Silver,1,1,0,0,9,42,4,2000,0
F,Tin,1,0,1,0,11,27,7,0.01,1
F,Tin,1,0,1,0,4,60,8,0.01,0
M,Tin,0,0,1,0,7,42,4,0.01,0
